i time mag error
0 112.36203565420875 0.0046288010451616774 0.0013087254305484046
1 285.21429192297484 -0.004420725952700164 0.001962280203709635
2 219.59818254342153 -0.0004761388265574328 0.002065178865103172
3 179.59754525911097 -0.003499218396854984 0.0011036470736448538
4 46.80559213273096 -0.0011828736566985663 0.0016732085563878412
5 46.798356100860794 0.003332686290634911 0.0012688293538779486
6 17.42508365045984 -0.006185729105792293 0.0011267499409455355
7 259.85284373248055 -0.0005251951835009447 0.0029799204647798904
8 180.33450352296265 0.00275424690866854 0.0016447076899494461
9 212.42177333881364 0.0046202951230183715 0.0026197488917092697
10 6.175348288740734 0.0036271305315560974 0.0015092813095275276
11 290.9729556485983 0.0021558111603769167 0.0023630054444478583
12 249.7327922401265 -0.0061219988272047275 0.0025204557197793733
13 63.701733203482846 -0.004698025047663318 0.0021912774812156885
14 54.54749016213019 0.003994564843821118 0.0019431523771003168
15 55.02135295603014 -0.0016418184102611278 0.001823681828294537
16 91.27267288786132 -0.000247279904592414 0.0016977365330859908
17 157.42692948967135 -0.004058872159940895 0.0028590582884956517
18 129.58350559263474 -0.007350696009294588 0.0026612388155754585
19 87.36874205941257 -0.002745165904466166 0.002930053821333025
20 183.55586841671385 -0.0006788706141051069 0.0012485944469710895
21 41.84815819561255 -0.0002307615406315004 0.0024617349504072886
22 87.64339456056544 -0.007539915119909395 0.0028766809136420756
23 109.90855298810752 -0.002385236287744524 0.0013624661323313203
24 136.82099526511078 0.005199743323936905 0.001132992534733555
25 235.55278841790408 -0.006346739350984401 0.002482241298580118
26 59.90213464750792 -0.0006255217687481578 0.0021489462263598238
27 154.27033152408347 0.00530326524677082 0.002683657553516544
28 177.72437065861274 -0.005662303565788019 0.001279544753252579
29 13.935123815999317 -0.0011310826245749044 0.0025905346237197805
30 182.26345557043152 -0.0028007498492142588 0.001403254640095489
31 51.15723710618746 -0.004419422178082022 0.001327311885731409
32 19.515477895583857 -0.005499226431716183 0.001328531595861986
33 284.66566117599996 0.001842436143489624 0.0026291494404627642
34 289.6896099223678 -0.0008740212250469221 0.0023303944413924004
35 242.51920443493833 0.0021306199741696254 0.0020461308495382385
36 91.3841307520112 -0.005552465307278425 0.001717660968247005
37 29.30163420191516 -0.003798638878937901 0.0027544010816262167
38 205.26990795364708 -0.0008670524483648414 0.0017848902148452708
39 132.0457481218804 -0.002155585864865995 0.002633198878943154
40 36.61147045343365 0.007022857069702484 0.001878269817140437
41 148.55307303338105 0.004951126539978512 0.0017538888588498152
42 10.316556334565519 0.0022293913758692344 0.0019253595713392129
43 272.79612062363464 0.00391221287885307 0.0016027557483282843
44 77.63399448000507 -0.004165373978278355 0.0024952187603525023
45 198.75668530619458 0.002260070785631621 0.002005440780184958
46 93.51332282682328 -0.004856016888778072 0.0014644253902936348
47 156.02040635334325 -0.0004503044656016096 0.0027991491465491373
48 164.01308380298389 0.00043249671981827057 0.0017677824427464227
49 55.45633665765811 -0.003628771672927419 0.002087105722227977
50 290.8753883293676 0.005079813832628137 0.002812944221929094
51 232.53984700833436 0.002485243135185861 0.002248475991827984
52 281.8496824692567 0.0019916712529616447 0.001233796081416728
53 268.44820512829466 0.001029777138528083 0.0028796642472269504
54 179.36999364332553 -0.004892303662196659 0.0022554161061428355
55 276.562270506935 0.006081262815369182 0.0016698112293141722
56 26.54775061557585 0.0055058294238844 0.0012785441453267744
57 58.79485872574356 0.0017584763961311426 0.002588050378540592
58 13.56818667316142 -0.005301962619381688 0.002240145511857027
59 97.5990992289793 -0.005745637772014971 0.002066922183952643
60 116.6031869068446 0.0035608456608941857 0.0027877851661019153
61 81.40470953216877 -0.0030784172849313415 0.0025771944224490615
62 248.6212527455788 0.005355633431709191 0.0013033497594655023
63 107.02599800807678 -0.0017937410636171642 0.0016234441355910964
64 84.28035290621423 0.005655297116528794 0.0014969782796289315
65 162.80882494747453 0.003440262737120155 0.0024878925851453543
66 42.27726749242879 0.005450789241668242 0.0010670648694715587
67 240.6590942262119 0.0056476276600741235 0.002139779369742633
68 22.365193103931247 0.0029002737566354306 0.002524917371481381
69 296.06608098015516 -8.98042823685235e-05 0.002753531273523499
70 231.67343078899722 -0.00278144087883819 0.001684163497431815
71 59.61470446025172 -0.0034581185530436617 0.002642514609344026
72 1.6566351370807197 -0.004448554464763213 0.0012212634739104146
73 244.63842853645025 0.004769244998465808 0.0026929045834690364
74 212.05720315428513 0.00344904617382784 0.001254977324663965
75 218.7021504122962 0.002841995475884541 0.0017945745811207346
76 231.38110400578373 -0.0035610435918338695 0.0025945907315591075
77 22.21339552022711 0.0027021190720927747 0.0012998348546975477
78 107.53971856328178 -0.00539648804688234 0.001458502790465283
79 34.760717857538914 0.005612060628121342 0.0024445051367861324
80 258.93102776267807 0.002725787989664769 0.0024400730730921487
81 186.98943804826737 0.0017928955795877431 0.002282295265770595
82 99.26940745579475 -0.001133435971271535 0.0023878968889342
83 19.067505085807092 -0.0010104292138888727 0.0020854488866951923
84 93.29469651469866 -0.0026316532480982337 0.0015035981178139054
85 97.55499660802411 -0.005546089304241147 0.001691391987007839
86 218.88185350141922 0.0024618542233362556 0.0013631954336028513
87 191.26724140656393 -0.003982045082425445 0.0028169011226672567
88 266.16382277289796 0.002655205771615371 0.002166783589532241
89 141.66447754858478 -0.0031569037240524933 0.0018017028335272798
90 35.87827378149051 -0.0035022481801406 0.0019240116072882655
91 213.9734361668985 0.0037679949972737633 0.002894566679223631
92 228.23551458506924 0.0013590019045363528 0.0013067028062321603
93 168.38315927084886 0.0022385443711837308 0.0021724596640335945
94 231.2901539863683 -0.0016360353595973728 0.002011777357768932
95 148.13867890931724 0.003693426915517782 0.002222908470869296
96 156.81984881459823 0.003929378429132302 0.001036220367641681
97 128.2623055075649 0.004926229089855264 0.002744247817888303
98 7.625738023228557 -0.004639442407368375 0.002864236564967225
99 32.367428097991336 0.0027780702599066753 0.002130266367178418
100 9.428755706020276 -0.0047236737419106434 0.0023933016477537847
101 190.92312337913413 -0.00015845363973897297 0.0028449987623545914
102 94.306794322898 0.006057129588210686 0.002414477268626797
103 152.57120734941083 0.004581296869117028 0.0013050780858285228
104 272.2699421778279 0.0020989602439171456 0.0021525767203336263
